date,hour,power_kw,plant_capacity_kw,error_pct
2026-07-07,14:00,2.59,6.0,56.83
2026-07-07,15:00,2.06,6.0,65.67
2026-07-07,16:00,1.28,6.0,78.67
2026-07-07,17:00,1.16,6.0,80.67
2026-07-07,18:00,1.21,6.0,79.83
2026-07-08,07:00,0.15,6.0,97.5
2026-07-08,08:00,0.12,6.0,98.0
2026-07-08,09:00,2.43,6.0,59.5
2026-07-08,10:00,4.27,6.0,28.83
2026-07-08,11:00,4.72,6.0,21.33
2026-07-08,12:00,3.0,6.0,50.0
2026-07-08,13:00,3.86,6.0,35.67
2026-07-08,14:00,2.54,6.0,57.67
2026-07-08,15:00,2.03,6.0,66.17
2026-07-08,16:00,2.4,6.0,60.0
2026-07-08,17:00,2.71,6.0,54.83
2026-07-08,18:00,0.85,6.0,85.83
2026-07-09,07:00,0.84,6.0,86.0
2026-07-09,08:00,1.5,6.0,75.0
2026-07-09,09:00,3.29,6.0,45.17
2026-07-09,10:00,3.58,6.0,40.33
2026-07-09,11:00,5.06,6.0,15.67
2026-07-09,12:00,5.7,6.0,5.0
2026-07-09,13:00,4.38,6.0,27.0
2026-07-09,14:00,4.38,6.0,27.0
2026-07-09,15:00,2.5,6.0,58.33
2026-07-09,16:00,2.81,6.0,53.17
2026-07-09,17:00,1.71,6.0,71.5
2026-07-09,18:00,0.56,6.0,90.67
2026-07-10,07:00,0.55,6.0,90.83
2026-07-10,08:00,1.58,6.0,73.67
2026-07-10,09:00,2.77,6.0,53.83
2026-07-10,10:00,3.68,6.0,38.67
2026-07-10,11:00,4.47,6.0,25.5
2026-07-10,12:00,4.85,6.0,19.17
2026-07-10,13:00,4.95,6.0,17.5
2026-07-10,14:00,4.87,6.0,18.83
2026-07-10,15:00,3.9,6.0,35.0
2026-07-10,16:00,3.2,6.0,46.67
2026-07-10,17:00,1.92,6.0,68.0
2026-07-10,18:00,0.59,6.0,90.17
2026-07-11,07:00,0.6,6.0,90.0
2026-07-11,08:00,1.6,6.0,73.33
2026-07-11,09:00,1.56,6.0,74.0
2026-07-11,10:00,3.15,6.0,47.5
2026-07-11,11:00,4.33,6.0,27.83
2026-07-11,12:00,0.0,6.0,100.0
2026-07-11,13:00,2.89,6.0,51.83
2026-07-11,14:00,4.55,6.0,24.17
2026-07-11,15:00,4.03,6.0,32.83
2026-07-11,16:00,3.4,6.0,43.33
2026-07-11,17:00,2.07,6.0,65.5
2026-07-11,18:00,0.68,6.0,88.67
2026-07-12,07:00,0.62,6.0,89.67
2026-07-12,08:00,1.6,6.0,73.33
2026-07-12,09:00,2.74,6.0,54.33
2026-07-12,10:00,3.85,6.0,35.83
2026-07-12,11:00,2.79,6.0,53.5
2026-07-12,12:00,5.23,6.0,12.83
2026-07-12,13:00,5.55,6.0,7.5
2026-07-12,14:00,4.88,6.0,18.67
2026-07-12,15:00,4.18,6.0,30.33
2026-07-12,16:00,3.17,6.0,47.17
2026-07-12,17:00,0.95,6.0,84.17
2026-07-12,18:00,0.77,6.0,87.17
2026-07-13,07:00,0.44,6.0,92.67
2026-07-13,08:00,1.22,6.0,79.67
2026-07-13,09:00,2.52,6.0,58.0
2026-07-13,10:00,3.46,6.0,42.33
2026-07-13,11:00,1.63,6.0,72.83
2026-07-13,12:00,3.38,6.0,43.67
2026-07-13,13:00,4.86,6.0,19.0
2026-07-13,14:00,4.21,6.0,29.83
2026-07-13,15:00,4.07,6.0,32.17
2026-07-13,16:00,2.25,6.0,62.5
2026-07-13,17:00,0.75,6.0,87.5
2026-07-13,18:00,0.4,6.0,93.33
2026-07-14,07:00,0.52,6.0,91.33
2026-07-14,08:00,1.17,6.0,80.5
2026-07-14,09:00,1.56,6.0,74.0
2026-07-14,10:00,1.47,6.0,75.5
2026-07-14,11:00,4.35,6.0,27.5
2026-07-14,12:00,3.76,6.0,37.33
2026-07-14,13:00,3.43,6.0,42.83
2026-07-14,14:00,2.89,6.0,51.83
2026-07-14,15:00,1.73,6.0,71.17
2026-07-14,16:00,3.0,6.0,50.0
2026-07-14,17:00,1.83,6.0,69.5
2026-07-14,18:00,0.57,6.0,90.5
2026-07-15,07:00,0.65,6.0,89.17
2026-07-15,08:00,1.2,6.0,80.0
2026-07-15,09:00,2.07,6.0,65.5
2026-07-15,10:00,3.94,6.0,34.33
2026-07-15,11:00,3.83,6.0,36.17
2026-07-15,12:00,2.61,6.0,56.5
2026-07-15,13:00,2.9,6.0,51.67
2026-07-15,14:00,2.97,6.0,50.5
2026-07-15,15:00,2.77,6.0,53.83
2026-07-15,16:00,3.15,6.0,47.5
2026-07-15,17:00,1.92,6.0,68.0
2026-07-15,18:00,0.57,6.0,90.5
2026-07-16,07:00,0.74,6.0,87.67
2026-07-16,08:00,1.54,6.0,74.33
2026-07-16,09:00,2.75,6.0,54.17
2026-07-16,10:00,3.52,6.0,41.33
2026-07-16,11:00,4.42,6.0,26.33
2026-07-16,12:00,4.92,6.0,18.0
2026-07-16,13:00,2.51,6.0,58.17
2026-07-16,14:00,1.86,6.0,69.0
2026-07-16,15:00,4.36,6.0,27.33
2026-07-16,16:00,1.39,6.0,76.83
2026-07-16,17:00,0.9,6.0,85.0
2026-07-16,18:00,0.56,6.0,90.67
2026-07-17,07:00,0.55,6.0,90.83
2026-07-17,08:00,1.51,6.0,74.83
2026-07-17,09:00,2.75,6.0,54.17
2026-07-17,10:00,3.5,6.0,41.67
2026-07-17,11:00,4.53,6.0,24.5
2026-07-17,12:00,3.18,6.0,47.0
2026-07-17,13:00,3.64,6.0,39.33
2026-07-17,14:00,3.38,6.0,43.67
2026-07-17,15:00,4.34,6.0,27.67
2026-07-17,16:00,3.03,6.0,49.5
2026-07-17,17:00,1.15,6.0,80.83
2026-07-17,18:00,0.63,6.0,89.5
2026-07-18,07:00,0.9,6.0,85.0
2026-07-18,08:00,0.86,6.0,85.67
2026-07-18,09:00,2.9,6.0,51.67
2026-07-18,10:00,3.63,6.0,39.5
2026-07-18,11:00,4.39,6.0,26.83
2026-07-18,12:00,4.67,6.0,22.17
2026-07-18,13:00,4.48,6.0,25.33
2026-07-18,14:00,3.79,6.0,36.83
2026-07-18,15:00,4.02,6.0,33.0
2026-07-18,16:00,3.25,6.0,45.83
2026-07-18,17:00,1.08,6.0,82.0
2026-07-18,18:00,0.63,6.0,89.5
2026-07-19,07:00,0.56,6.0,90.67
2026-07-19,08:00,1.56,6.0,74.0
2026-07-19,09:00,2.75,6.0,54.17
2026-07-19,10:00,3.32,6.0,44.67
2026-07-19,11:00,3.38,6.0,43.67
2026-07-19,12:00,4.98,6.0,17.0
2026-07-19,13:00,2.68,6.0,55.33
2026-07-19,14:00,4.51,6.0,24.83
2026-07-19,15:00,3.47,6.0,42.17
2026-07-19,16:00,1.92,6.0,68.0
2026-07-19,17:00,0.77,6.0,87.17
2026-07-19,18:00,0.41,6.0,93.17
2026-07-20,07:00,0.2,6.0,96.67
2026-07-20,08:00,0.89,6.0,85.17
2026-07-20,09:00,1.42,6.0,76.33
2026-07-20,10:00,2.22,6.0,63.0
2026-07-20,11:00,1.12,6.0,81.33
2026-07-20,12:00,1.41,6.0,76.5
2026-07-20,13:00,2.79,6.0,53.5
2026-07-20,14:00,2.91,6.0,51.5
2026-07-20,15:00,2.98,6.0,50.33
2026-07-20,16:00,1.72,6.0,71.33
